temperature,humidity,ph,soil_moisture,yield
19.5,52.4,7.2,26.0,2.0
34.6,63.6,5.8,37.7,2.02
21.3,41.8,7.2,53.2,2.31
26.9,63.4,7.4,36.1,0.87
17.8,44.3,6.2,40.0,0.59
20.5,55.7,5.9,40.1,2.2
17.3,69.3,6.3,46.7,0.65
33.2,42.2,6.5,41.6,2.04
17.2,79.5,5.7,42.2,1.21
28.8,79.6,6.4,42.3,1.1
29.2,63.7,5.8,27.9,1.48
29.3,59.0,6.8,39.6,1.97
31.1,74.7,5.9,24.7,2.39
22.4,73.5,6.8,36.4,1.4
19.6,59.1,5.7,50.1,1.03
24.9,63.6,6.1,25.3,2.43
28.9,53.8,6.9,50.4,1.21
33.9,62.0,6.5,25.4,1.56
27.8,44.0,6.0,49.4,1.54
17.2,73.7,6.3,49.1,0.79
27.8,60.9,6.1,42.1,0.71
27.3,40.5,7.4,34.0,1.55
33.4,76.8,7.2,42.4,1.84
18.8,73.7,5.5,29.3,1.68
23.2,65.4,6.2,46.9,1.9
23.7,74.8,7.3,28.0,1.43
25.7,36.1,7.0,43.2,2.27
30.4,48.5,5.9,36.9,1.71
23.8,71.1,6.0,54.9,1.3
28.8,72.6,7.5,34.7,1.14
15.9,53.1,7.1,33.4,1.47
17.0,69.0,6.3,38.0,1.4
30.1,67.9,7.0,35.2,2.07
29.9,72.5,6.3,23.4,1.26
15.1,44.5,5.5,38.0,0.98
34.6,53.0,7.5,38.6,1.01
22.8,33.7,7.2,34.6,1.75
17.6,54.2,7.2,42.1,0.81
28.0,57.2,6.4,51.9,1.73
21.3,74.8,6.2,52.5,1.65
33.5,38.7,6.4,32.6,1.32
20.1,46.7,7.2,49.9,1.38
24.4,30.6,7.1,53.7,1.65
24.5,61.5,7.3,55.9,2.11
16.9,34.3,6.8,58.4,1.8
16.9,39.3,6.7,20.2,2.15
16.9,52.6,5.9,55.5,1.13
22.8,78.4,6.6,51.0,0.86
24.5,66.3,7.1,38.1,2.05
34.2,35.5,6.9,32.9,2.15
22.1,70.6,5.8,49.2,2.0
34.4,56.4,6.5,25.9,1.94
16.0,79.3,5.6,42.0,1.11
21.9,37.7,6.3,43.7,2.45
27.3,71.7,7.2,22.8,1.57
32.0,62.1,6.3,59.9,1.45
16.7,59.3,6.1,29.3,1.94
27.3,62.3,7.2,40.7,2.36
34.9,73.3,6.6,25.2,1.68
32.3,30.2,7.3,22.1,1.63
28.1,69.1,6.2,32.2,1.76
25.2,35.4,6.7,51.0,1.57
32.3,61.3,6.1,22.7,2.39
23.2,46.9,6.7,21.4,1.05
25.1,60.2,6.1,49.4,0.6
25.8,69.0,7.2,50.3,0.86
15.9,49.3,7.2,53.7,0.84
28.1,75.2,6.0,40.9,1.35
24.2,78.6,7.5,43.6,2.48
21.6,54.1,6.8,31.5,0.68
30.2,35.2,7.2,57.5,0.9
16.4,68.5,6.2,22.2,1.13
27.7,51.8,6.4,56.9,2.27
22.6,43.4,6.9,44.2,1.44
24.7,48.2,5.5,33.7,0.99
23.2,52.4,6.0,38.8,1.99
26.8,52.1,7.2,59.5,2.24
28.2,67.0,6.9,26.7,0.52
17.1,59.9,5.6,42.2,1.23
20.0,45.5,5.8,30.7,2.08
24.0,51.9,6.6,36.7,2.46
29.5,70.6,7.1,56.7,0.97
34.2,37.9,5.9,25.5,1.51
15.9,43.4,7.5,47.6,0.57
23.9,62.4,5.6,32.3,1.47
31.2,46.0,7.0,32.6,1.23
18.4,78.3,6.0,54.9,1.4
20.8,32.3,6.5,58.0,2.38
31.1,30.5,6.5,43.3,2.07
24.1,60.7,6.1,58.8,0.69
22.8,55.1,7.0,39.9,1.06
19.7,60.5,6.0,41.5,1.03
18.7,58.1,6.6,53.6,1.46
25.3,79.6,6.4,26.6,0.64
19.2,58.5,6.2,25.6,0.88
17.0,42.2,6.4,30.9,2.09
30.4,69.2,7.3,43.2,2.45
31.1,55.6,6.4,44.0,0.89
24.2,34.8,6.9,23.5,0.72
27.3,58.9,7.5,57.8,0.57
25.0,73.0,5.6,38.6,1.33
22.2,56.4,6.9,44.3,2.24
22.6,58.2,7.2,45.2,1.85
20.2,36.9,6.9,54.2,2.34
29.1,50.6,7.0,55.7,1.03
22.5,53.5,7.2,49.9,1.57
23.5,53.6,5.7,48.3,1.35
28.7,30.4,6.2,29.7,1.38
21.2,77.6,6.9,58.2,1.92
24.8,52.1,6.4,27.6,1.79
23.8,77.9,5.8,27.1,2.37
15.0,62.0,5.9,47.5,0.63
19.0,42.0,7.2,54.6,1.45
17.7,40.1,5.5,36.9,1.45
33.5,68.8,7.0,38.6,0.89
16.2,64.0,6.9,52.1,1.45
21.0,42.9,5.9,55.0,2.23
16.1,43.8,6.9,38.9,0.9
27.8,47.7,7.3,30.9,1.41
16.5,77.0,7.1,22.1,0.59
33.6,64.1,6.1,39.8,2.16
25.8,77.5,6.8,58.1,1.34
20.4,35.3,7.2,39.5,0.65
20.1,61.3,6.2,42.3,1.33
15.5,71.3,6.6,20.1,0.93
21.6,42.6,6.6,56.0,1.98
31.2,31.3,6.5,59.0,1.86
19.8,36.6,7.4,45.2,2.18
32.5,53.2,5.9,45.5,2.11
27.4,78.7,6.7,33.3,1.84
33.7,63.1,5.7,51.4,1.94
18.3,76.3,6.8,21.3,1.11
25.9,76.6,6.2,34.1,2.34
22.1,67.6,6.9,53.8,1.79
17.5,50.9,7.0,36.4,0.52
21.3,69.1,6.9,30.4,1.83
25.8,38.1,6.1,23.7,0.69
23.6,51.9,6.4,30.2,1.09
26.6,67.2,6.6,51.6,0.99
28.7,33.3,6.4,46.9,2.25
34.7,77.9,7.0,52.0,2.41
25.4,56.4,6.9,24.5,0.5
24.4,63.1,5.7,44.8,0.51
18.0,77.6,6.5,43.0,0.64
23.1,47.0,6.8,46.0,2.44
29.4,55.5,7.0,31.3,0.75
18.5,34.0,5.7,33.5,0.78
34.7,51.7,6.7,48.2,0.81
34.5,55.7,7.3,34.5,1.5
18.5,38.7,6.4,33.9,2.32
34.6,55.7,6.3,25.7,1.06
25.0,52.4,7.5,34.0,0.51
18.0,59.8,7.1,38.5,0.69
17.2,76.2,6.4,26.1,1.07
17.0,72.0,6.6,40.2,1.16
33.7,53.1,6.8,48.6,2.4
24.5,49.2,6.3,54.8,2.4
31.9,52.3,6.6,23.5,1.33
23.6,65.9,6.1,25.1,2.26
28.7,63.0,6.2,46.1,1.64
16.4,53.5,6.5,27.1,2.34
26.3,42.4,7.4,58.6,1.63
23.2,69.1,7.1,34.3,1.01
34.7,75.5,5.7,20.1,1.38
28.8,52.7,5.9,30.8,1.08
29.4,76.8,5.8,30.1,1.89
20.9,57.1,6.0,55.1,0.98
20.4,31.4,6.0,46.5,1.7
19.8,56.2,6.4,46.2,2.31
19.5,32.6,7.2,23.4,0.56
29.7,30.2,6.5,38.9,1.16
20.3,57.0,5.9,53.7,1.19
29.6,67.1,6.7,37.0,1.02
21.6,37.4,7.4,44.8,1.67
17.3,56.4,7.4,41.2,2.16
29.8,43.4,6.5,43.0,2.44
26.4,47.0,7.3,41.3,2.35
31.6,33.2,6.0,37.5,2.4
21.7,68.9,6.7,31.4,0.53
24.6,33.5,6.6,44.5,0.75
29.5,40.8,6.0,42.0,1.95
34.1,56.3,5.6,45.8,0.88
15.8,54.3,6.9,28.5,0.54
33.3,41.4,7.2,58.9,1.11
21.9,67.8,5.5,40.6,1.73
20.8,56.2,5.9,38.1,2.36
19.4,30.4,6.6,35.6,1.42
26.3,52.6,7.5,21.2,2.47
31.2,66.1,7.1,49.5,2.5
22.8,40.0,7.1,31.9,1.76
24.9,43.3,6.0,28.3,0.51
28.1,36.1,7.0,35.9,1.43
24.8,48.3,7.1,27.5,1.58
27.4,72.6,6.6,50.6,1.09
22.6,38.2,5.9,32.1,1.08
18.9,53.8,6.7,45.6,2.01
32.6,63.7,7.2,22.6,1.09
31.1,57.8,6.6,21.2,1.2
25.5,38.2,7.0,53.4,0.61
17.8,48.6,7.3,29.1,1.37
29.8,44.3,7.3,51.0,1.45
35.0,42.3,5.6,42.1,1.62
18.5,59.6,6.7,38.4,2.35
21.7,60.1,7.0,56.4,2.34
31.5,49.9,5.9,39.6,1.52
32.6,54.4,6.7,44.3,1.96
32.9,69.7,5.6,54.0,0.57
33.0,73.5,6.1,53.9,0.54
32.9,59.2,7.0,31.3,1.11
33.8,61.1,6.8,45.9,2.11
28.7,68.3,7.2,54.2,1.48
17.5,50.3,7.5,30.9,2.05
23.2,67.2,6.3,54.4,2.38
30.6,78.1,6.0,52.5,1.92
16.9,33.1,7.1,57.0,2.12
34.1,65.7,7.0,41.2,2.38
20.7,46.3,5.9,56.8,1.6
20.2,62.6,6.9,42.8,0.92
17.1,77.5,6.1,55.4,0.62
25.7,57.0,6.3,32.0,1.42
19.7,75.3,6.7,37.8,1.05
27.6,63.9,6.7,26.0,0.83
21.9,67.2,7.4,21.8,1.31
34.8,46.2,6.2,57.1,1.89
21.0,46.9,5.6,27.4,0.78
20.2,67.1,6.5,59.3,2.08
19.0,30.9,7.5,21.6,1.43
34.9,42.1,7.2,58.5,1.66
24.7,60.2,6.7,47.1,2.12
28.7,33.0,6.6,41.2,2.1
27.9,43.6,6.7,42.7,1.25
25.3,76.5,7.1,46.9,2.18
23.4,46.7,6.0,34.3,2.27
32.7,46.7,6.4,22.3,1.13
23.7,63.0,7.0,21.2,0.91
21.3,32.2,6.9,35.6,1.57
26.4,60.9,6.3,32.2,2.46
27.6,49.8,6.5,44.3,0.54
25.4,67.8,5.9,25.2,1.45
28.1,31.4,6.5,55.5,2.31
34.2,47.1,6.4,57.3,0.54
24.9,62.5,6.8,42.6,1.33
19.2,45.3,7.4,36.8,1.28
22.6,70.9,6.1,31.4,1.84
22.9,52.6,5.7,29.2,2.4
29.3,54.5,6.4,24.1,2.22
28.6,70.7,6.8,20.1,1.58
17.5,72.3,7.2,49.2,1.49
26.0,55.3,7.3,36.4,1.74
34.0,47.1,6.9,39.4,2.34
33.7,32.4,5.7,52.9,1.37
16.2,55.6,5.6,34.2,1.31
23.5,56.3,6.2,47.9,1.55
28.9,38.1,5.7,21.3,2.24
32.3,48.5,5.7,55.6,0.51
25.8,55.5,6.1,33.8,1.45
20.2,43.5,5.6,47.4,1.76
32.5,77.7,6.0,44.1,2.04
28.2,61.3,6.5,36.4,1.98
26.6,48.0,5.7,39.4,2.07
25.3,39.3,7.5,26.7,1.53
16.2,38.9,5.8,38.6,1.86
15.6,33.2,6.0,30.9,0.72
30.1,59.2,5.7,52.0,2.16
24.5,78.8,5.9,59.2,1.83
33.5,34.9,5.9,45.9,1.59
16.4,62.2,7.1,58.5,1.3
18.5,57.3,6.1,35.1,1.63
34.9,72.9,6.9,58.4,2.2
28.7,68.8,7.4,59.9,2.39
34.1,78.5,7.2,22.0,1.58
30.7,75.5,6.8,53.0,1.49
26.6,69.4,7.0,41.6,0.73
30.5,43.7,6.2,28.1,2.42
20.1,54.7,7.4,58.1,1.1
24.8,79.2,7.3,54.6,2.02
28.3,39.5,5.7,24.6,0.6
20.8,38.4,5.6,58.1,1.25
19.3,36.2,7.5,55.9,1.42
19.4,59.4,6.2,47.5,0.98
21.1,46.2,7.2,36.2,1.97
18.7,31.7,6.9,53.1,2.12
20.5,30.8,6.0,22.5,1.38
18.0,40.3,5.6,41.2,0.95
15.5,30.5,6.9,56.9,1.75
31.8,56.9,6.6,20.5,1.03
23.7,61.9,6.6,23.7,2.35
33.6,61.7,7.3,49.8,0.86
17.2,73.7,6.9,30.8,2.22
19.2,61.5,5.7,57.2,0.55
17.7,61.2,6.7,30.5,1.68
32.3,61.9,5.5,20.6,1.34
24.0,62.0,7.1,47.2,2.32
32.1,78.1,7.4,39.8,0.6
17.3,52.6,6.8,23.2,1.6
22.2,50.4,7.3,59.5,1.59
34.6,43.5,5.9,40.8,1.14
21.9,36.0,6.4,37.5,1.38
29.9,61.9,7.1,37.8,2.09
32.9,32.9,6.4,42.4,0.69
24.0,56.2,6.1,33.0,0.91
28.0,71.5,5.6,56.7,2.49
25.6,41.1,6.0,36.2,0.93
26.4,44.3,7.1,34.8,2.45
26.2,60.1,6.3,42.7,0.94
18.9,66.3,7.4,37.8,1.63
31.1,71.6,7.1,57.3,1.93
26.8,37.6,7.4,34.2,1.62
28.5,32.2,6.1,31.6,1.93
17.7,57.0,5.9,41.0,0.79
33.3,76.4,6.2,30.1,2.34
30.5,47.0,6.7,22.8,0.6
16.9,44.3,6.8,27.3,1.68
28.3,73.5,6.5,22.1,0.92
25.0,79.0,6.0,24.9,0.75
19.9,53.4,7.3,28.5,1.55
25.4,37.6,6.9,31.1,1.02
31.7,66.9,6.6,56.9,2.43
21.5,46.2,7.0,59.4,2.3
32.4,60.1,6.8,27.0,1.89
20.6,56.3,7.2,42.6,0.95
28.5,57.5,5.6,25.0,0.81
22.2,60.6,7.1,31.2,2.32
16.2,40.6,7.0,48.6,0.95
21.2,61.2,6.5,42.1,1.09
25.5,33.7,6.8,23.0,1.43
33.7,66.1,6.4,46.5,2.49
30.0,60.5,6.0,43.0,0.55
28.7,35.5,6.1,46.5,2.12
23.6,45.1,6.4,39.8,1.76
29.5,64.1,6.1,35.0,1.46
33.7,35.5,7.3,57.9,2.49
25.6,66.4,7.4,45.2,1.7
29.3,73.9,7.5,50.9,2.28
28.9,76.6,6.6,30.5,1.22
25.5,55.1,6.3,53.1,1.18
32.1,46.8,6.8,59.9,1.67
30.1,39.7,5.9,41.7,0.61
32.5,61.8,6.5,52.9,1.71
17.9,48.3,7.1,28.5,1.06
29.8,67.0,5.6,59.4,2.12
18.1,48.2,5.6,54.5,0.64
17.1,38.1,6.4,21.8,1.16
24.0,65.8,5.8,44.1,1.7
22.6,57.6,5.6,43.0,1.33
18.2,76.3,5.5,59.2,0.69
30.9,35.6,6.6,36.0,0.55
20.9,52.3,7.4,47.6,1.88
18.0,68.5,5.6,22.0,1.95
31.9,78.9,6.1,56.7,0.88
30.1,76.2,6.8,26.6,1.53
25.7,32.9,7.3,21.3,2.22
24.6,39.1,6.1,58.4,0.85
15.5,71.9,6.9,38.0,0.67
29.2,51.0,5.6,54.2,2.23
29.3,52.3,5.7,39.5,0.53
16.7,54.7,6.6,30.4,1.38
27.2,60.9,7.2,50.6,1.39
18.1,61.3,7.0,47.3,1.46
31.3,76.6,5.9,39.5,0.69
29.3,72.8,5.8,29.9,2.03
18.8,38.4,5.5,41.9,2.08
29.0,51.1,5.9,39.3,1.9
21.3,59.6,7.4,48.0,1.95
32.5,77.6,7.0,57.2,1.12
27.3,41.6,6.7,45.3,0.52
22.1,53.5,6.2,56.3,1.28
18.0,54.8,6.7,25.2,1.24
31.6,72.7,5.6,55.3,1.71
30.8,59.6,6.2,48.3,1.27
33.1,48.0,7.3,28.0,2.19
24.3,66.6,7.0,44.9,2.01
20.6,31.7,6.3,47.0,1.58
21.0,54.9,6.5,35.6,0.71
16.8,59.7,6.7,43.4,0.87
26.2,77.3,6.3,27.8,0.79
27.3,61.8,7.1,30.5,2.12
32.6,58.2,6.4,31.0,1.46
31.3,78.8,7.5,54.6,2.14
21.6,73.1,5.6,53.1,0.52
34.5,43.1,5.6,36.5,1.14
24.2,54.5,6.3,53.5,1.0
30.6,33.3,6.7,22.9,2.01
15.7,56.6,5.5,42.0,1.78
30.3,45.8,6.6,33.4,1.08
26.1,78.9,7.5,29.9,1.91
15.5,42.4,7.1,20.8,0.59
21.4,45.4,6.0,22.1,1.76
27.6,40.3,7.1,42.3,1.26
23.7,60.6,5.6,27.4,0.97
20.8,58.5,7.3,40.6,2.15
26.2,47.3,6.2,34.6,1.63
23.1,71.8,7.3,43.3,1.18
30.5,41.1,7.5,32.2,0.72
16.2,76.0,6.5,58.5,0.75
26.2,53.9,7.3,41.8,1.82
31.0,69.9,6.9,48.8,2.21
32.3,65.3,7.2,47.4,1.3
30.0,56.0,5.7,45.6,0.64
20.7,78.7,6.5,51.9,0.67
23.2,69.0,5.5,29.5,2.38
21.1,55.5,5.5,49.3,2.0
34.2,78.5,6.9,57.7,0.51
15.4,51.2,6.9,51.5,1.73
32.7,69.9,5.9,28.7,1.31
19.7,56.7,5.9,21.3,2.28
20.9,79.7,7.4,44.5,1.03
25.5,43.8,6.4,22.1,0.57
17.0,37.1,7.3,37.4,0.95
17.6,38.2,6.6,38.3,1.67
20.9,37.0,5.6,46.9,1.33
18.8,48.3,6.1,47.7,1.35
20.5,64.6,5.8,26.6,1.12
29.8,64.3,7.0,59.9,1.93
22.3,31.0,6.8,32.1,0.81
33.4,63.0,6.3,32.1,1.24
27.6,72.1,6.4,38.5,1.42
24.5,57.7,7.2,34.2,0.76
15.8,37.5,7.0,48.0,2.46
15.4,58.7,6.7,56.0,1.12
29.6,38.0,6.5,51.5,0.73
32.9,69.2,6.7,56.5,1.1
31.7,65.5,7.4,57.3,1.06
30.5,36.5,6.2,24.8,1.92
21.3,55.9,6.4,44.4,0.59
21.6,66.8,6.6,23.1,1.0
21.8,63.7,7.4,26.9,0.63
30.7,76.0,5.8,49.9,2.32
33.3,53.5,7.3,27.3,0.87
21.8,43.8,5.6,36.9,0.75
16.6,36.6,5.7,58.5,0.96
16.7,41.5,6.6,34.3,2.13
34.8,32.2,5.8,35.2,2.43
25.5,75.6,6.2,51.0,2.16
27.0,46.9,6.6,35.5,0.95
22.4,72.2,5.7,28.5,1.58
26.7,74.3,5.7,46.6,0.69
15.7,69.6,6.0,48.5,1.73
16.6,33.7,7.4,44.2,2.39
30.8,44.8,7.0,32.8,0.96
22.7,45.2,7.3,32.5,1.37
21.8,60.8,7.1,59.4,2.43
33.1,78.5,5.7,20.3,0.99
16.9,74.5,5.8,21.3,1.53
20.2,70.1,6.5,58.9,0.57
15.6,32.6,6.7,47.3,1.8
27.3,76.0,6.7,31.6,1.74
28.3,76.9,5.7,25.4,0.92
18.5,58.5,5.5,59.2,2.09
30.7,58.6,5.8,20.2,1.39
15.0,38.6,6.9,47.6,2.28
25.1,36.1,6.8,41.9,1.54
33.7,69.7,6.3,33.1,1.76
24.0,71.9,6.3,55.7,2.06
32.5,43.0,7.3,23.8,1.11
16.4,68.3,6.8,39.8,1.76
21.5,39.8,6.3,51.4,0.92
34.5,35.8,6.9,53.3,2.11
32.9,48.7,6.8,29.8,2.3
18.6,55.6,5.8,34.3,0.88
20.8,66.5,7.3,55.5,2.19
33.9,76.6,7.0,35.1,1.27
24.9,67.8,6.3,38.8,0.95
30.8,51.7,5.7,38.1,1.26
15.3,46.6,6.3,45.3,1.63
29.7,32.2,7.0,55.7,0.83
23.9,49.1,5.5,25.2,1.15
20.1,35.4,7.4,59.3,1.83
30.6,69.9,5.6,42.1,1.63
26.7,78.1,6.7,50.2,2.1
18.3,67.2,6.0,27.2,1.99
21.1,31.6,6.7,57.6,1.65
17.6,48.1,7.5,55.5,1.1
28.3,35.9,6.5,31.3,1.84
31.2,68.1,7.3,49.2,2.12
24.3,44.8,5.6,25.0,0.59
25.6,76.8,6.3,50.1,1.69
20.0,40.3,6.2,32.9,1.64
20.2,59.3,5.9,54.9,2.04
20.9,62.0,7.0,49.1,1.43
33.8,63.8,6.3,23.8,1.7
27.0,64.2,6.0,32.4,0.76
22.3,76.6,5.9,45.7,0.57
34.3,35.5,6.7,29.3,1.49
15.1,37.5,7.4,38.4,1.7
18.7,79.4,6.7,23.2,1.1
18.2,34.1,6.9,41.7,2.25
33.5,33.2,6.5,28.2,2.45
33.6,41.1,6.2,43.6,1.16
17.3,68.5,6.4,54.1,1.94
25.6,69.9,6.3,27.7,1.31
28.1,77.3,6.5,44.6,1.3
33.7,78.1,5.9,44.4,1.82
16.9,55.7,5.8,47.2,1.97
31.4,78.1,6.7,44.4,1.77
21.3,56.2,7.0,41.7,2.12
17.5,53.5,6.6,24.8,2.34
26.8,38.9,5.8,56.8,2.25
21.7,67.9,6.8,39.4,2.16
15.7,57.3,5.9,22.1,1.21
26.9,65.5,6.5,24.3,2.04
30.7,76.6,6.6,35.1,2.43
19.5,52.5,6.7,30.3,1.27
23.4,74.2,6.1,24.2,0.71
24.4,55.9,7.1,52.1,2.22
25.6,71.9,7.0,30.8,1.38
27.7,79.3,7.0,43.2,1.93
15.3,67.5,6.1,34.2,0.97
23.2,65.6,6.1,52.4,1.65
26.8,59.3,6.0,27.9,2.05
32.9,75.2,5.6,20.7,2.1
20.8,67.2,7.2,25.7,1.38
28.2,64.2,6.0,35.9,1.4
15.5,42.7,6.9,41.2,1.13
15.9,41.4,5.9,30.3,0.96
22.8,79.8,6.6,53.5,2.24
15.5,48.5,5.7,22.2,2.25
16.5,69.5,5.7,21.4,0.82
29.5,38.6,6.4,52.6,2.46
29.2,37.3,6.5,29.5,0.68
31.4,73.2,6.2,21.6,1.83
31.1,60.2,6.8,52.2,0.89
22.1,75.3,6.2,26.3,0.6
22.7,55.8,6.6,22.0,2.0
20.6,70.7,6.0,27.4,0.89
29.3,38.4,5.5,37.5,2.01
22.4,46.3,6.8,53.6,1.12
18.5,45.7,6.2,39.8,1.83
22.7,39.3,7.2,59.3,1.33
28.8,42.2,6.4,50.3,0.83
22.3,78.7,5.8,55.7,1.98
27.0,48.3,7.3,57.0,2.36
28.0,56.8,7.0,46.8,0.59
20.0,34.3,5.7,45.6,0.84
29.2,41.4,6.2,56.3,1.68
27.3,60.3,6.8,37.7,1.99
21.7,51.9,7.0,37.8,1.41
23.9,57.6,7.2,41.6,0.72
17.0,67.0,5.6,53.8,0.81
25.2,65.4,6.4,58.1,1.5
17.2,47.9,6.2,32.2,1.89
26.2,35.0,6.8,25.0,1.81
16.7,42.2,7.2,47.8,2.0
27.0,42.5,7.2,54.9,2.41
32.1,35.4,5.6,33.7,1.13
23.8,66.6,6.1,42.2,2.3
18.2,32.4,5.6,58.5,1.84
18.4,69.8,6.8,58.2,2.12
18.6,54.7,6.8,35.5,0.61
19.7,67.1,5.7,27.8,1.07
34.7,70.6,7.3,31.6,1.12
29.1,73.6,7.0,57.9,1.1
33.0,32.1,6.8,27.3,1.93
32.9,41.2,6.8,47.6,0.91
25.8,51.6,6.6,23.9,2.11
20.5,38.4,6.8,35.2,1.84
19.6,31.2,7.2,51.0,1.92
33.0,30.4,7.0,25.2,1.51
22.9,38.7,7.0,28.8,0.81
33.5,77.6,6.4,38.8,1.0
20.9,48.6,6.1,57.1,2.39
17.0,53.3,6.5,40.8,1.55
15.4,36.8,6.7,50.7,1.94
22.4,44.7,7.4,21.8,1.65
20.8,48.4,6.2,56.4,1.59
17.9,34.9,6.6,53.7,1.52
15.8,63.9,5.7,30.3,2.06
29.3,55.5,6.8,25.8,0.9
17.2,75.8,6.0,48.9,1.1
21.2,68.2,7.3,58.9,2.1
22.8,77.9,5.6,36.5,1.95
22.7,56.9,6.1,45.6,1.44
32.2,45.4,5.8,30.5,2.45
25.5,60.5,6.2,27.7,0.68
28.4,76.8,7.0,43.3,1.57
31.0,64.3,6.2,49.9,1.08
24.4,54.9,5.6,55.0,0.59
18.3,34.8,6.9,30.6,2.09
24.9,52.3,5.8,58.5,1.22
30.7,76.7,7.2,22.9,0.87
15.3,32.3,6.6,54.5,2.08
27.0,64.0,6.3,37.5,1.95
